,id,zipCode
0,2,95113
1,3,95113
2,4,95113
3,5,95113
4,6,95113
5,7,95113
6,8,95113
7,9,95113
8,10,95113
9,11,95113
10,12,95113
11,13,95113
12,14,95113
13,16,95113
14,80,95113
15,84,95113
16,21,94063
17,22,94063
18,23,94063
19,24,94063
20,25,94063
21,26,94063
22,83,94063
23,27,94041
24,28,94041
25,29,94041
26,30,94041
27,31,94041
28,32,94041
29,33,94041
30,34,94301
31,35,94301
32,36,94301
33,37,94301
34,38,94301
35,41,94107
36,42,94107
37,45,94107
38,46,94107
39,47,94107
40,48,94107
41,49,94107
42,50,94107
43,51,94107
44,39,94107
45,54,94107
46,55,94107
47,56,94107
48,57,94107
49,58,94107
50,59,94107
51,60,94107
52,61,94107
53,62,94107
54,63,94107
55,64,94107
56,65,94107
57,66,94107
58,67,94107
59,68,94107
60,69,94107
61,70,94107
62,71,94107
63,72,94107
64,73,94107
65,74,94107
66,75,94107
67,76,94107
68,77,94107
69,82,94107
